order_id,order_amount,delivery_latitude,delivery_longitude,order_date
ord-93386,27.51,51.798,-0.816,17/11/2016
ord-79675,29.56,51.537,-0.366,09/11/2016
ord-73206,33.05,52.484,-1.944,27/11/2016
ord-75858,27.51,52.556,-2.106,16/11/2016
ord-61645,29.76,51.385,-0.109,29/11/2016
ord-45441,19.34,52.494,-2.108,05/11/2016
ord-01191,31.17,51.647,-3.952,02/11/2016
ord-09692,32.83,52.405,-1.532,09/11/2016
ord-61186,51.09,53.394,-2.255,22/11/2016
ord-12395,40.15,51.638,-0.753,19/11/2016
ord-26913,76.09,53.771,-1.585,17/11/2016
ord-14031,32.03,52.457,-1.904,18/11/2016
ord-08272,46.23,52.434,-1.907,14/11/2016
ord-11489,52.24,51.157,0.8575,05/11/2016
ord-32357,44.57,51.573,-0.408,18/11/2016
ord-63495,22.76,53.454,-2.307,26/11/2016
ord-31079,30.88,51.624,-3.903,03/11/2016
ord-89351,45.02,52.532,-1.874,11/11/2016
ord-52094,33.01,51.814,-0.824,17/11/2016
ord-15703,32.89,51.376,-0.398,05/11/2016
ord-03041,16.48,53.847,-1.609,20/11/2016
ord-23451,57.16,51.507,-0.369,06/11/2016
ord-43730,40,51.473,0.3221,19/11/2016
ord-44436,21.44,51.534,0.721,25/11/2016
ord-82123,29.4,51.628,0.003,25/11/2016
ord-54063,29.93,51.12,-1.325,05/11/2016
ord-28849,16.95,51.804,-0.816,17/11/2016
ord-60598,27.15,53.301,-3.523,05/11/2016
ord-33439,26.95,51.56,0.014,18/11/2016
ord-05607,31.48,52.232,-0.945,26/11/2016
ord-80168,22.92,51.814,-0.824,17/11/2016
ord-47661,36.32,52.93,-1.45,22/11/2016
ord-36683,23.65,52.926,-1.454,18/11/2016
ord-76814,32.82,53.734,-2.502,03/11/2016
ord-39193,37.12,51.546,0.0747,28/11/2016
ord-51990,113.16,51.531,0.0595,18/11/2016
ord-62978,52.73,51.56,0.014,18/11/2016
ord-96821,20.4,52.921,-0.625,10/11/2016
ord-49116,43.82,51.54,0.1489,08/11/2016
ord-79853,24.91,51.531,-0.236,18/11/2016
ord-51325,47.01,52.962,-1.298,17/11/2016
ord-71102,23.86,51.63,-0.777,22/11/2016
ord-42590,28.21,51.525,-0.089,18/11/2016
ord-91575,40.53,51.568,0.0937,01/11/2016
ord-28032,26.57,51.571,-0.008,18/11/2016
ord-70501,35.58,51.248,-2.201,11/11/2016
ord-07276,90.95,51.605,-0.058,17/11/2016
ord-25756,36.87,53.814,-1.555,22/11/2016
ord-69016,30.85,53.618,-2.128,04/11/2016
ord-24290,32.01,53.454,-2.307,26/11/2016
ord-36583,32.23,51.376,-0.398,05/11/2016
ord-29118,19.38,52.387,-1.247,03/11/2016
ord-94225,55.64,55.942,-3.215,13/11/2016
ord-98078,58.95,51.551,0.058,16/11/2016
